stateTime,ProveCommitSector,PreCommitSector,ProveCommitAggregate,PreCommitSectorBatch,PublishStorageDeals,SubmitWindowedPoSt,Others
"2021-01-04","28912.1454","10439.3560","0.0000","0.0000","165.8504","7705.4081","61.4419"
"2021-01-05","28727.9263","10657.5842","0.0000","0.0000","201.9721","7768.2787","68.1626"
"2021-01-06","28267.0020","10801.0858","0.0000","0.0000","151.7299","7848.4938","67.7753"
"2021-01-07","28771.8561","10613.9091","0.0000","0.0000","138.5971","7923.4142","62.1357"
"2021-01-08","29947.4205","10505.8316","0.0000","0.0000","127.8135","7987.3754","53.1923"
"2021-01-09","29557.7788","10549.8070","0.0000","0.0000","118.0624","8053.5769","54.6299"
"2021-01-10","29721.9534","10183.1650","0.0000","0.0000","154.4430","8120.5819","81.2947"
"2021-01-11","29012.7159","10274.7750","0.0000","0.0000","113.9322","8191.7841","61.9823"
"2021-01-12","27667.9488","10094.2016","0.0000","0.0000","148.1491","8238.8808","61.6964"
"2021-01-13","29529.5483","10063.8217","0.0000","0.0000","187.7606","8310.5348","66.9067"
"2021-01-14","29454.2302","9935.3623","0.0000","0.0000","172.7668","8394.2911","85.1930"
"2021-01-15","29997.9399","10255.6043","0.0000","0.0000","236.9964","8427.1933","68.2955"
"2021-01-16","28930.3274","10138.7406","0.0000","0.0000","167.5194","8487.5567","79.9523"
"2021-01-17","29770.3768","10045.3271","0.0000","0.0000","247.4907","8606.4402","86.1761"
"2021-01-18","28585.2544","9981.7184","0.0000","0.0000","253.6488","8674.5788","71.6977"
"2021-01-19","28455.1389","9717.9681","0.0000","0.0000","280.5845","8734.3467","71.0156"
"2021-01-20","27778.8559","9599.9280","0.0000","0.0000","324.4857","8751.9751","86.4198"
"2021-01-21","28899.1050","10401.0968","0.0000","0.0000","433.3198","8823.1045","188.0372"
"2021-01-22","28996.3423","9632.9466","0.0000","0.0000","359.1913","8937.0417","68.8488"
"2021-01-23","29206.0009","9521.7203","0.0000","0.0000","409.6622","9012.0735","81.1300"
"2021-01-24","29227.4766","9596.9161","0.0000","0.0000","424.4485","9065.1730","150.9005"
"2021-01-25","29049.0220","9620.5579","0.0000","0.0000","369.1571","9136.6099","82.5009"
"2021-01-26","29796.7265","9432.5581","0.0000","0.0000","104.6714","9224.3406","67.1050"
"2021-01-27","29303.8129","9407.8189","0.0000","0.0000","34.0837","9317.7922","57.4435"
"2021-01-28","28551.0645","9097.1463","0.0000","0.0000","32.2607","9390.4993","58.7949"
"2021-01-29","29609.4759","9482.9704","0.0000","0.0000","27.5923","9442.1766","58.0419"
"2021-01-30","29004.0161","9302.8689","0.0000","0.0000","10.6992","9522.2542","64.0431"
"2021-01-31","28747.1432","9494.6339","0.0000","0.0000","24.5014","9585.6028","57.5482"
"2021-02-01","28572.7845","9327.9274","0.0000","0.0000","25.6115","9664.6097","65.8994"
"2021-02-02","29054.1521","9418.1380","0.0000","0.0000","21.0303","9730.2093","49.5754"
"2021-02-03","28149.9502","9349.0856","0.0000","0.0000","19.3095","9789.8691","59.4810"
"2021-02-04","28442.7851","9596.3260","0.0000","0.0000","19.7417","9854.1460","58.9458"
"2021-02-05","28976.7158","9607.3380","0.0000","0.0000","6.1921","9943.6421","55.0666"
"2021-02-06","28846.4744","9637.6947","0.0000","0.0000","4.8471","10004.3124","55.1764"
"2021-02-07","29145.3305","9074.6835","0.0000","0.0000","13.9639","10079.5384","58.6395"
"2021-02-08","29146.3259","9281.6948","0.0000","0.0000","12.2805","10171.7785","62.7496"
"2021-02-09","28690.0989","9016.8097","0.0000","0.0000","6.5606","10222.9186","56.3670"
"2021-02-10","28118.3903","9144.8922","0.0000","0.0000","10.4759","10277.1348","59.7961"
"2021-02-11","28455.1838","8790.1708","0.0000","0.0000","1.3466","10336.2952","64.4745"
"2021-02-12","28931.3468","9208.6372","0.0000","0.0000","16.4194","10442.5118","62.5289"
"2021-02-13","28463.3696","9153.5731","0.0000","0.0000","4.7306","10522.9921","1041.1381"
"2021-02-14","29091.7114","9255.4413","0.0000","0.0000","11.4286","10576.1069","357.7164"
"2021-02-15","28361.7478","9223.2291","0.0000","0.0000","15.4214","10621.5354","43.8688"
"2021-02-16","28580.4391","9272.9847","0.0000","0.0000","18.7237","10704.5375","52.8016"
"2021-02-17","28510.4739","9171.3386","0.0000","0.0000","17.5742","10775.7452","47.8315"
"2021-02-18","27560.5347","8520.1093","0.0000","0.0000","13.2103","10815.5459","55.8967"
"2021-02-19","28450.6640","9261.2870","0.0000","0.0000","32.5513","10872.2698","244.8547"
"2021-02-20","28131.3706","9202.0713","0.0000","0.0000","8.3720","10948.7957","56.8554"
"2021-02-21","28518.5270","9309.6875","0.0000","0.0000","16.6970","11026.8995","60.4971"
"2021-02-22","28180.7351","9418.0529","0.0000","0.0000","11.2639","11029.4802","56.3089"
"2021-02-23","28090.2487","8751.3058","0.0000","0.0000","7.2553","11143.6681","75.6770"
"2021-02-24","28090.5477","9010.9707","0.0000","0.0000","7.8803","11221.7819","56.0867"
"2021-02-25","29204.4102","9360.8918","0.0000","0.0000","1.3736","11297.0270","39.3140"
"2021-02-26","27890.7883","8870.2648","0.0000","0.0000","3.7223","11346.1883","43.2039"
"2021-02-27","27619.6583","9061.8144","0.0000","0.0000","2.2062","11440.5129","51.2062"
"2021-02-28","27905.3562","9042.4950","0.0000","0.0000","3.9679","11503.0719","227.1672"
"2021-03-01","27258.2186","8854.6876","0.0000","0.0000","3.5966","11518.5619","42.2660"
"2021-03-02","26803.1425","8518.5207","0.0000","0.0000","8.2970","11617.2011","59.8955"
"2021-03-03","32300.1039","9873.7704","0.0000","0.0000","5.6914","661.9580","5090.4218"
"2021-03-04","36940.7578","11086.1015","0.0000","0.0000","7.9135","783.1199","52.7399"
"2021-03-05","36408.2385","11324.8101","0.0000","0.0000","7.4490","621.2219","38.6445"
"2021-03-06","35236.3102","10914.9118","0.0000","0.0000","4.8205","622.0279","43.6921"
"2021-03-07","36195.1192","10643.0251","0.0000","0.0000","1.9224","750.4264","45.9092"
"2021-03-08","35287.0793","10823.7847","0.0000","0.0000","2.8757","666.1988","42.4271"
"2021-03-09","36426.8326","11443.2926","0.0000","0.0000","6.5045","697.8350","78.3771"
"2021-03-10","35904.4193","11030.4842","0.0000","0.0000","26.9998","759.2087","57.0105"
"2021-03-11","35855.5092","11001.6259","0.0000","0.0000","61.1983","794.3026","125.7507"
"2021-03-12","36487.9100","11727.8477","0.0000","0.0000","7.8064","687.4537","41.1195"
"2021-03-13","35581.8195","11554.6544","0.0000","0.0000","24.8052","644.4973","40.8295"
"2021-03-14","36232.9685","10960.8688","0.0000","0.0000","62.3860","761.2623","48.9665"
"2021-03-15","35616.9137","11307.7464","0.0000","0.0000","15.6499","718.2533","47.6742"
"2021-03-16","36738.5589","11879.9547","0.0000","0.0000","64.0690","653.6836","54.0564"
"2021-03-17","35957.7490","11349.6192","0.0000","0.0000","36.2600","652.6829","50.5474"
"2021-03-18","35452.0045","11430.4239","0.0000","0.0000","65.2529","661.3693","44.7081"
"2021-03-19","36291.9083","11821.5395","0.0000","0.0000","61.0024","683.4692","50.1833"
"2021-03-20","35681.6948","11330.0462","0.0000","0.0000","68.9509","719.0819","44.8217"
"2021-03-21","36352.9453","11523.7838","0.0000","0.0000","48.3784","702.1697","51.7231"
"2021-03-22","35110.1657","11415.4173","0.0000","0.0000","18.2829","694.4658","47.7496"
"2021-03-23","34742.9406","10284.5311","0.0000","0.0000","94.8973","721.8234","56.0757"
"2021-03-24","36012.2789","11077.0773","0.0000","0.0000","71.9969","731.2835","75.2347"
"2021-03-25","35646.1568","11279.1677","0.0000","0.0000","60.4196","779.4497","60.2353"
"2021-03-26","35159.7479","11767.4184","0.0000","0.0000","80.9525","743.9068","79.7008"
"2021-03-27","35652.6811","11273.1651","0.0000","0.0000","55.7738","722.5096","47.9031"
"2021-03-28","35152.7945","11084.3810","0.0000","0.0000","62.3405","731.7767","55.7285"
