,Commit Pledge per 32GiB QAP,Protocol Circulating Supply,Total FIL Mined,Total FIL Vested,Fil Reserve Disbursed,Total FIL Burned,Total FIL Locked,Network QA Power,Network RB Power,Baseline Power,Active Faults,Block Rewards per WinCount,stateTime,FIL-USD,BTC-USD,ETH-USD,onboard_32G,onboard_64G,daily_onboard_QAP,dlog_FILUSD,dlog_QAP,est_20-day_reward,consensus_term,Pledge_theory,gap
67,0.2154,57.03,18.61,53.66,17.07,-7.98,-24.33,1.39,1.39,3.14,68.41,16.25,2020-12-19,28.299299240112305,23869.83203125,659.2979125976562,14.34,0.13,0.4521875,-0.00670545317756055,0.21597506183559703,2.5899280575539527,5.448726114649681,8.038654172203634,-7.823254172203634
68,0.2509,57.57,18.83,54.31,17.07,-8.08,-24.55,1.49,1.49,3.14,7.1,16.39,2020-12-20,28.348827362060547,23477.294921875,638.2908325195312,16.64,0.11,0.5234375,0.0017486239188873043,0.06947237281476748,2.9530201342281726,5.50031847133758,8.453338605565753,-8.202438605565753
69,0.2413,58.08,19.06,54.96,17.07,-8.23,-24.77,1.51,1.51,3.15,4.08,16.49,2020-12-21,25.221773147583008,22803.08203125,609.81787109375,15.94,0.06,0.5,-0.116878031162714,0.013333530869465204,3.0463576158940455,5.531428571428571,8.577786187322616,-8.336486187322615
70,0.2484,58.54,19.29,55.6,17.07,-8.42,-24.99,1.53,1.53,3.15,3.25,16.58,2020-12-22,24.67493438720703,23783.029296875,634.8541870117188,16.23,0.0,0.5071875,-0.021919709029044387,0.013158084577511109,3.0065359477124236,5.575238095238094,8.581774042950517,-8.333374042950517
71,0.2538,59.03,19.52,56.25,17.07,-8.59,-25.22,1.54,1.54,3.16,9.61,16.64,2020-12-23,22.33257293701172,23241.345703125,583.714599609375,16.57,0.0,0.5178125,-0.09974164368952065,0.006514681021193736,2.9870129870129927,5.604113924050632,8.591126911063625,-8.337326911063625
72,0.2569,59.47,19.75,56.9,17.07,-8.79,-25.45,1.55,1.55,3.17,10.25,16.7,2020-12-24,23.753868103027344,23735.94921875,611.607177734375,16.66,0.03,0.5215625,0.061699102168334186,0.006472514505617477,2.9677419354838763,5.628075709779179,8.595817645263056,-8.338917645263056
73,0.2564,59.95,19.98,57.55,17.07,-8.96,-25.69,1.58,1.58,3.17,3.19,16.84,2020-12-25,24.356475830078125,24664.791015625,626.4107055664062,17.05,0.02,0.5334375,0.02505237730282195,0.019169916107720175,2.9113924050632964,5.673501577287066,8.584893982350362,-8.328493982350363
74,0.2563,60.44,20.22,58.2,17.07,-9.12,-25.93,1.59,1.59,3.18,4.58,16.93,2020-12-26,23.564008712768555,26437.037109375,635.8358154296875,17.13,0.02,0.5359375,-0.03307726860938498,0.006309169193264741,3.018867924528282,5.70188679245283,8.720754716981112,-8.464454716981113
75,0.2574,60.92,20.45,58.84,17.07,-9.29,-26.16,1.61,1.61,3.18,6.84,17.0,2020-12-27,22.26886749267578,26272.294921875,682.642333984375,16.64,0.02,0.520625,-0.056530866926888024,0.012500162764231493,2.857142857142862,5.747169811320754,8.604312668463617,-8.346912668463617
76,0.2581,61.39,20.69,59.49,17.07,-9.46,-26.39,1.62,1.62,3.19,7.76,17.09,2020-12-28,22.013368606567383,27084.80859375,730.3973388671875,17.1,0.02,0.535,-0.011539693741388302,0.006191970247921064,2.9629629629629872,5.773354231974921,8.736317194937909,-8.478217194937908
77,0.2593,61.86,20.93,60.14,17.07,-9.65,-26.63,1.64,1.64,3.2,8.82,17.16,2020-12-29,20.437702178955078,27362.4375,731.5201416015625,16.92,0.02,0.529375,-0.07426859158342669,0.012270092591814219,2.926829268292664,5.7993749999999995,8.726204268292664,-8.466904268292664
78,0.2592,62.33,21.16,60.79,17.07,-9.84,-26.86,1.66,1.66,3.2,4.91,17.27,2020-12-30,21.64124298095703,28840.953125,751.6189575195312,16.69,0.02,0.5221875,0.05721955021799374,0.01212136053234486,2.7710843373494027,5.843437499999999,8.614521837349402,-8.355321837349402
79,0.2596,62.8,21.41,61.44,17.07,-10.02,-27.09,1.67,1.67,3.21,4.91,17.35,2020-12-31,24.35386848449707,29001.720703125,737.8034057617188,17.22,0.02,0.53875,0.11808981553518105,0.00600602406021189,2.9940119760479043,5.869158878504673,8.863170854552578,-8.603570854552578
